number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_feed_forward_size,params_hidden_size,params_lr,params_num_blocks,params_num_heads,state
63,-1.2452115302994138,2024-05-10 03:53:07.200933,2024-05-10 03:53:30.278278,0 days 00:00:23.077345,256,0.30000000000000004,128,32,0.0056762191689801005,2,1,COMPLETE
64,-1.2156808291162764,2024-05-10 03:53:30.278908,2024-05-10 03:53:49.957807,0 days 00:00:19.678899,256,0.30000000000000004,128,32,0.005234750985928596,2,1,COMPLETE
65,-1.1478031618254525,2024-05-10 03:53:49.958431,2024-05-10 03:55:13.179785,0 days 00:01:23.221354,256,0.30000000000000004,128,256,4.2353231391142655e-05,2,1,COMPLETE
66,-1.2443140234266008,2024-05-10 03:55:13.180461,2024-05-10 03:55:42.183182,0 days 00:00:29.002721,256,0.30000000000000004,128,32,0.00024212143253831786,3,2,COMPLETE
67,-1.2430217338550418,2024-05-10 03:55:42.183835,2024-05-10 03:57:25.192705,0 days 00:01:43.008870,32,0.2,512,32,1.8628420190735632e-05,2,4,COMPLETE
68,-1.254415872551146,2024-05-10 03:57:25.193622,2024-05-10 03:58:31.387287,0 days 00:01:06.193665,256,0.30000000000000004,64,32,0.0015975950152946582,2,8,COMPLETE
69,-1.2382489643901227,2024-05-10 03:58:31.387985,2024-05-10 03:59:40.269810,0 days 00:01:08.881825,128,0.30000000000000004,64,24,0.001081979134311316,1,1,COMPLETE
70,-1.2255289355913799,2024-05-10 03:59:40.270716,2024-05-10 04:00:21.627992,0 days 00:00:41.357276,256,0.4,128,64,0.0037170894144976842,2,8,COMPLETE
71,-1.2405753277596974,2024-05-10 04:00:21.628633,2024-05-10 04:01:09.650950,0 days 00:00:48.022317,256,0.30000000000000004,64,32,0.0014357396938466675,2,8,COMPLETE
72,-1.2504706212452479,2024-05-10 04:01:09.651639,2024-05-10 04:01:47.355033,0 days 00:00:37.703394,256,0.30000000000000004,64,32,0.0021323665229696816,2,8,COMPLETE
73,-1.2396369917052132,2024-05-10 04:01:47.355673,2024-05-10 04:02:36.249344,0 days 00:00:48.893671,256,0.30000000000000004,64,32,0.0016757171329540806,2,8,COMPLETE
74,-1.2326559168951852,2024-05-10 04:02:36.250033,2024-05-10 04:03:41.524928,0 days 00:01:05.274895,256,0.30000000000000004,64,32,0.000876681320544327,2,8,COMPLETE
75,-1.2439335130509876,2024-05-10 04:03:41.525832,2024-05-10 04:04:46.690791,0 days 00:01:05.164959,256,0.2,64,32,0.00836754176463819,2,8,COMPLETE
76,-1.2486855476460559,2024-05-10 04:04:46.691432,2024-05-10 04:07:53.768908,0 days 00:03:07.077476,32,0.30000000000000004,512,32,0.0025634333280819864,2,8,COMPLETE
77,-1.2220111507357974,2024-05-10 04:07:53.769947,2024-05-10 04:16:38.855681,0 days 00:08:45.085734,64,0.30000000000000004,64,256,0.00011169718140115343,3,8,COMPLETE
78,-1.1136121976943243,2024-05-10 04:16:38.856646,2024-05-10 04:17:32.936563,0 days 00:00:54.079917,256,0.2,256,128,0.004467442770894042,2,8,COMPLETE
79,-1.2400697753542946,2024-05-10 04:17:32.937277,2024-05-10 04:18:05.583935,0 days 00:00:32.646658,256,0.30000000000000004,64,32,0.006618391942177576,2,4,COMPLETE
80,-1.2469106628781272,2024-05-10 04:18:05.584824,2024-05-10 04:19:00.451270,0 days 00:00:54.866446,256,0.30000000000000004,128,128,0.0005771242836507979,3,2,COMPLETE
81,-1.230224160921006,2024-05-10 04:19:00.451960,2024-05-10 04:19:33.778465,0 days 00:00:33.326505,256,0.30000000000000004,128,32,0.00987797119846585,2,1,COMPLETE
82,-1.2452349265416462,2024-05-10 04:19:33.779140,2024-05-10 04:20:14.100726,0 days 00:00:40.321586,256,0.30000000000000004,128,32,0.006267644621809309,2,1,COMPLETE
