number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_ff_size,params_lr,params_nhead,params_nlayers,state
61,0.49497458235329533,2024-06-22 16:01:42.067702,2024-06-22 16:08:04.587440,0 days 00:06:22.519738,32,128,256,0.4,128,0.00024010927364627205,4,2,COMPLETE
62,0.4985309396148173,2024-06-22 16:08:04.589080,2024-06-22 16:13:36.216622,0 days 00:05:31.627542,32,128,256,0.5,256,0.00012334730481046883,4,2,COMPLETE
63,0.5025485390460412,2024-06-22 16:13:36.218086,2024-06-22 16:17:22.972495,0 days 00:03:46.754409,32,128,256,0.5,256,0.0001242646999566974,4,2,COMPLETE
64,0.5079024684617492,2024-06-22 16:17:22.973876,2024-06-22 16:25:38.814479,0 days 00:08:15.840603,32,128,256,0.5,256,0.00010935302856395798,4,2,COMPLETE
65,0.5055629034701989,2024-06-22 16:25:38.816157,2024-06-22 16:32:44.126169,0 days 00:07:05.310012,32,128,256,0.5,256,0.00012104713983856465,4,2,COMPLETE
66,0.4845389465436078,2024-06-22 16:32:44.127988,2024-06-22 16:34:31.355345,0 days 00:01:47.227357,32,128,256,0.5,256,5.641900014011812e-05,4,2,COMPLETE
67,0.4957135828985541,2024-06-22 16:34:31.356795,2024-06-22 16:36:32.006269,0 days 00:02:00.649474,32,128,256,0.5,256,9.36529544338759e-05,4,2,COMPLETE
68,0.4983372168905483,2024-06-22 16:36:32.007630,2024-06-22 16:38:57.647696,0 days 00:02:25.640066,32,128,256,0.5,256,0.00013548567811547197,4,2,COMPLETE
69,0.48004742801110273,2024-06-22 16:38:57.649048,2024-06-22 16:41:24.400114,0 days 00:02:26.751066,32,128,256,0.5,256,3.404240585654468e-05,4,2,COMPLETE
70,0.5049076275447716,2024-06-22 16:41:24.401502,2024-06-22 16:49:21.011985,0 days 00:07:56.610483,32,128,256,0.5,256,0.00030132301199980625,4,2,COMPLETE
71,0.13187246257369875,2024-06-22 16:49:21.013723,2024-06-22 16:49:39.662110,0 days 00:00:18.648387,256,128,256,0.5,256,6.684088059824973e-05,4,2,COMPLETE
72,0.4935626577534086,2024-06-22 16:49:39.663312,2024-06-22 16:57:40.452369,0 days 00:08:00.789057,32,128,128,0.5,256,0.0001265064043437819,4,2,COMPLETE
73,0.35190278362818483,2024-06-22 16:57:40.454055,2024-06-22 16:58:09.604252,0 days 00:00:29.150197,128,128,256,0.5,256,0.00032243474647402617,4,2,COMPLETE
74,0.5083107570955328,2024-06-22 16:58:09.606028,2024-06-22 17:03:02.416958,0 days 00:04:52.810930,32,128,256,0.5,256,0.000290277873173348,4,2,COMPLETE
75,0.23390251149595567,2024-06-22 17:03:02.418571,2024-06-22 17:07:00.109245,0 days 00:03:57.690674,32,128,256,0.5,256,0.0004941817873537454,4,2,COMPLETE
76,0.48780296565277625,2024-06-22 17:07:00.110607,2024-06-22 17:10:58.278007,0 days 00:03:58.167400,32,128,256,0.5,256,9.258540522902706e-05,4,2,COMPLETE
77,0.5087912025003375,2024-06-22 17:10:58.279363,2024-06-22 17:19:48.619120,0 days 00:08:50.339757,32,128,128,0.5,256,0.00014996992096571744,4,2,COMPLETE
78,0.490685969479825,2024-06-22 17:19:48.620462,2024-06-22 17:22:42.563986,0 days 00:02:53.943524,32,128,256,0.5,256,0.00014773529598217081,4,2,COMPLETE
79,0.49684390106621135,2024-06-22 17:22:42.565538,2024-06-22 17:31:35.234540,0 days 00:08:52.669002,32,128,128,0.5,256,0.0001090194666116893,4,2,COMPLETE
80,0.5014700049051763,2024-06-22 17:31:35.235587,2024-06-22 17:36:14.839407,0 days 00:04:39.603820,32,128,256,0.5,256,5.1884345510067334e-05,4,2,COMPLETE
81,0.5042659852300517,2024-06-22 17:36:14.856150,2024-06-22 17:42:15.434973,0 days 00:06:00.578823,32,128,256,0.5,256,7.339378364313447e-05,4,2,COMPLETE
82,0.5050118044123695,2024-06-22 17:42:15.436547,2024-06-22 17:49:07.987331,0 days 00:06:52.550784,32,128,128,0.5,256,0.00019896396460468058,4,2,COMPLETE
83,0.4968683015391355,2024-06-22 17:49:07.988634,2024-06-22 17:50:55.499032,0 days 00:01:47.510398,32,128,128,0.2,256,7.521942491730024e-05,4,2,COMPLETE
84,0.5059827460224061,2024-06-22 17:50:55.500259,2024-06-22 17:56:13.066994,0 days 00:05:17.566735,32,128,128,0.5,256,0.00020997504579464577,4,2,COMPLETE
85,0.5101427482799966,2024-06-22 17:56:13.068242,2024-06-22 18:03:32.212301,0 days 00:07:19.144059,32,128,128,0.5,256,0.00020854142751788085,4,2,COMPLETE
86,0.4616199080870873,2024-06-22 18:03:32.214194,2024-06-22 18:05:45.067627,0 days 00:02:12.853433,32,128,128,0.5,256,0.0002001506142197783,4,2,COMPLETE
87,0.5112865862689498,2024-06-22 18:05:45.068980,2024-06-22 18:10:48.504470,0 days 00:05:03.435490,32,128,128,0.5,256,0.0003561001973739509,4,2,COMPLETE
88,0.5082069632528089,2024-06-22 18:10:48.505968,2024-06-22 18:16:19.115032,0 days 00:05:30.609064,32,128,128,0.5,256,0.00037247532356650577,4,2,COMPLETE
