number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_ff_size,params_lr,params_nhead,params_nlayers,state
61,0.5955681728850188,2024-06-18 16:53:21.015214,2024-06-18 16:55:49.539525,0 days 00:02:28.524311,32,64,256,0.5,256,0.0001504977252533162,8,4,COMPLETE
62,0.840343660753709,2024-06-18 16:55:49.541219,2024-06-18 17:01:23.237482,0 days 00:05:33.696263,32,64,256,0.1,256,8.326323321520566e-05,8,3,COMPLETE
63,0.8160693474530449,2024-06-18 17:01:23.238890,2024-06-18 17:09:58.580728,0 days 00:08:35.341838,32,64,256,0.2,256,2.97839216195479e-05,2,4,COMPLETE
64,0.8579997974800895,2024-06-18 17:09:58.582289,2024-06-18 17:21:39.808514,0 days 00:11:41.226225,32,64,256,0.1,256,0.00034034167550382353,8,4,COMPLETE
65,0.8635650807872276,2024-06-18 17:21:39.809951,2024-06-18 17:32:09.228739,0 days 00:10:29.418788,32,64,256,0.1,256,0.00016319443272110666,8,4,COMPLETE
66,0.8611584931967501,2024-06-18 17:32:09.230142,2024-06-18 17:40:29.684171,0 days 00:08:20.454029,32,64,256,0.1,256,0.0002693605928878132,8,4,COMPLETE
67,0.8643944996119823,2024-06-18 17:40:29.685688,2024-06-18 17:47:56.460566,0 days 00:07:26.774878,32,64,256,0.1,256,0.00016708050599446712,8,4,COMPLETE
68,0.8606470286905862,2024-06-18 17:47:56.461982,2024-06-18 17:57:32.712434,0 days 00:09:36.250452,32,64,256,0.1,256,0.00016296537653266707,8,4,COMPLETE
69,0.8449711963360116,2024-06-18 17:57:32.713866,2024-06-18 18:06:48.520408,0 days 00:09:15.806542,32,64,256,0.1,256,8.191629584060719e-05,8,4,COMPLETE
70,0.8360311354823701,2024-06-18 18:06:48.521805,2024-06-18 18:13:36.660407,0 days 00:06:48.138602,32,64,256,0.1,256,4.057341457743653e-05,8,4,COMPLETE
71,0.8102173225535376,2024-06-18 18:13:36.661971,2024-06-18 18:25:50.675996,0 days 00:12:14.014025,32,64,32,0.2,256,0.00012151481187137834,8,4,COMPLETE
72,0.8588257693277367,2024-06-18 18:25:50.677244,2024-06-18 18:32:00.796515,0 days 00:06:10.119271,32,64,256,0.1,256,0.00017793978103177797,8,4,COMPLETE
73,0.8446907331190499,2024-06-18 18:32:00.797955,2024-06-18 18:44:24.477710,0 days 00:12:23.679755,32,64,256,0.1,128,0.0003828134082124858,8,4,COMPLETE
74,0.8625453036646348,2024-06-18 18:44:24.479333,2024-06-18 18:51:30.760915,0 days 00:07:06.281582,32,64,256,0.1,256,0.0002677184179238492,8,4,COMPLETE
75,0.7872220560704419,2024-06-18 18:51:30.762346,2024-06-18 18:54:36.432261,0 days 00:03:05.669915,32,64,256,0.1,256,0.0005274919781909496,8,4,COMPLETE
76,0.864627719088814,2024-06-18 18:54:36.433656,2024-06-18 19:03:33.032499,0 days 00:08:56.598843,32,64,256,0.1,256,0.00018757729101594737,8,4,COMPLETE
