number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_lr,params_nhead,params_nlayers,state
57,0.06099049009772752,2024-06-11 01:57:06.333460,2024-06-11 02:00:03.726160,0 days 00:02:57.392700,128,32,64,0.30000000000000004,2.5675533555883526e-06,8,3,COMPLETE
58,0.046679477195671205,2024-06-11 02:00:03.727827,2024-06-11 02:00:30.460327,0 days 00:00:26.732500,128,32,64,0.30000000000000004,0.00944526801774269,8,3,COMPLETE
59,-0.32136883079501416,2024-06-11 02:00:30.461863,2024-06-11 02:02:50.900139,0 days 00:02:20.438276,128,32,64,0.30000000000000004,1.4294882655860205e-06,8,2,COMPLETE
60,0.48006021002375726,2024-06-11 02:02:50.901493,2024-06-11 02:04:16.532154,0 days 00:01:25.630661,64,64,64,0.4,3.444539346326763e-06,4,2,COMPLETE
61,-0.45718056286193953,2024-06-11 02:04:16.533656,2024-06-11 02:07:08.324764,0 days 00:02:51.791108,64,128,32,0.2,1.2328104650381716e-06,8,2,COMPLETE
62,-0.2388641825033742,2024-06-11 02:07:08.326137,2024-06-11 02:09:32.601127,0 days 00:02:24.274990,64,128,32,0.2,1.2926765698401253e-06,8,2,COMPLETE
63,-0.06314209134768206,2024-06-11 02:09:32.602718,2024-06-11 02:10:25.179664,0 days 00:00:52.576946,64,128,32,0.1,7.794181267271608e-06,2,2,COMPLETE
64,0.4626631428400202,2024-06-11 02:10:25.181203,2024-06-11 02:11:24.552899,0 days 00:00:59.371696,64,128,32,0.2,0.0005574461786535991,4,2,COMPLETE
65,-0.08576551628543398,2024-06-11 02:11:24.554379,2024-06-11 02:14:43.275973,0 days 00:03:18.721594,64,128,32,0.2,1.0153760173910094e-06,8,2,COMPLETE
66,0.455617470574868,2024-06-11 02:14:43.277382,2024-06-11 02:15:42.816352,0 days 00:00:59.538970,64,256,32,0.30000000000000004,2.5390688702019093e-06,8,2,COMPLETE
67,-0.27484448652381455,2024-06-11 02:15:42.817887,2024-06-11 02:18:03.865619,0 days 00:02:21.047732,128,32,64,0.2,1.3711889123987496e-06,8,2,COMPLETE
68,0.0405128126310234,2024-06-11 02:18:03.867367,2024-06-11 02:18:38.184912,0 days 00:00:34.317545,256,128,128,0.30000000000000004,2.0334276591067913e-06,8,2,COMPLETE
69,0.382085272353202,2024-06-11 02:18:38.186294,2024-06-11 02:21:26.314801,0 days 00:02:48.128507,64,32,64,0.5,3.6952397779046265e-06,8,4,COMPLETE
70,-0.06117439238634399,2024-06-11 02:21:26.316216,2024-06-11 02:24:15.667130,0 days 00:02:49.350914,64,32,32,0.4,0.003032927744578132,8,4,COMPLETE
71,0.018329141518535853,2024-06-11 02:24:15.668730,2024-06-11 02:25:15.721199,0 days 00:01:00.052469,64,256,64,0.2,1.4314542960897194e-06,8,2,COMPLETE
72,0.010475574000713523,2024-06-11 02:25:15.722900,2024-06-11 02:28:30.247229,0 days 00:03:14.524329,128,64,64,0.30000000000000004,2.0308133085866716e-06,4,4,COMPLETE
73,0.4217978079188858,2024-06-11 02:28:30.249012,2024-06-11 02:30:48.648265,0 days 00:02:18.399253,64,32,256,0.30000000000000004,4.492181502714765e-06,8,4,COMPLETE
74,-0.312971463072095,2024-06-11 02:30:48.649593,2024-06-11 02:32:34.952030,0 days 00:01:46.302437,64,32,32,0.2,6.8378153562777965e-06,8,2,COMPLETE
75,-0.4438030074518603,2024-06-11 02:32:34.953336,2024-06-11 02:36:58.772037,0 days 00:04:23.818701,64,32,32,0.2,1.3611862032561407e-06,8,2,COMPLETE
76,-0.35853797641509816,2024-06-11 02:36:58.773364,2024-06-11 02:41:21.480163,0 days 00:04:22.706799,64,32,32,0.2,1.2643045848901842e-06,8,2,COMPLETE
