number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_ff_size,params_lr,params_nhead,params_nlayers,state
66,0.364287652910639,2024-06-22 19:06:47.443910,2024-06-22 19:08:13.631396,0 days 00:01:26.187486,32,256,256,0.1,32,0.0005640295441256477,2,3,COMPLETE
67,0.855192734284333,2024-06-22 19:08:13.632800,2024-06-22 19:15:53.799412,0 days 00:07:40.166612,32,256,256,0.1,32,0.00010341959789756137,2,3,COMPLETE
68,0.8566992116549392,2024-06-22 19:15:53.801020,2024-06-22 19:21:51.499176,0 days 00:05:57.698156,32,256,256,0.1,32,0.00033668118341318646,8,2,COMPLETE
69,0.8557037275690393,2024-06-22 19:21:51.500534,2024-06-22 19:26:13.935930,0 days 00:04:22.435396,64,32,256,0.1,32,0.00016752413612530382,2,4,COMPLETE
70,0.8260509560571248,2024-06-22 19:26:13.937562,2024-06-22 19:38:35.113588,0 days 00:12:21.176026,32,128,32,0.1,64,5.096896229880154e-05,2,4,COMPLETE
71,0.8393569521344775,2024-06-22 19:38:35.115061,2024-06-22 19:42:40.889968,0 days 00:04:05.774907,32,128,256,0.2,32,0.00011489128045474468,2,3,COMPLETE
72,0.8536981565070051,2024-06-22 19:42:40.891344,2024-06-22 19:54:58.343311,0 days 00:12:17.451967,32,256,256,0.1,32,2.6063160906474235e-05,2,4,COMPLETE
73,0.7049919377674925,2024-06-22 19:54:58.344678,2024-06-22 19:56:12.407869,0 days 00:01:14.063191,256,128,64,0.2,32,6.938418189681014e-05,2,2,COMPLETE
74,0.8580535539613054,2024-06-22 19:56:12.409474,2024-06-22 20:05:48.355580,0 days 00:09:35.946106,32,256,256,0.1,32,0.00025388959141484275,2,3,COMPLETE
75,0.8492376665293672,2024-06-22 20:05:48.357288,2024-06-22 20:12:44.194617,0 days 00:06:55.837329,32,256,256,0.1,32,0.00020872988691312885,2,3,COMPLETE
76,0.8534739643868197,2024-06-22 20:12:44.196523,2024-06-22 20:19:40.186825,0 days 00:06:55.990302,32,256,256,0.1,32,0.00013807748611465356,2,3,COMPLETE
77,0.8615851368084061,2024-06-22 20:19:40.188304,2024-06-22 20:27:50.512561,0 days 00:08:10.324257,32,256,256,0.1,32,0.00019586996261673878,2,3,COMPLETE
78,0.8414643982894742,2024-06-22 20:27:50.514118,2024-06-22 20:34:22.794015,0 days 00:06:32.279897,32,32,256,0.1,32,5.862998831495657e-05,2,3,COMPLETE
79,0.8240128767100818,2024-06-22 20:34:22.795824,2024-06-22 20:39:20.637332,0 days 00:04:57.841508,32,128,256,0.30000000000000004,32,7.623713861729753e-05,8,4,COMPLETE
80,0.8418740738191454,2024-06-22 20:39:20.638805,2024-06-22 20:51:37.886695,0 days 00:12:17.247890,32,256,256,0.1,128,0.00034866843524113247,2,4,COMPLETE
81,0.85166542182491,2024-06-22 20:51:37.888156,2024-06-22 20:56:28.484071,0 days 00:04:50.595915,64,128,256,0.1,64,0.00010847839608456715,2,3,COMPLETE
82,0.33649715712946965,2024-06-22 20:56:28.485696,2024-06-22 20:58:20.351755,0 days 00:01:51.866059,32,64,256,0.1,32,0.0008751028260557714,2,4,COMPLETE
83,0.8114705571731908,2024-06-22 20:58:20.353188,2024-06-22 21:10:35.612219,0 days 00:12:15.259031,32,128,32,0.1,32,3.706853767583013e-05,2,4,COMPLETE
84,0.853873122814086,2024-06-22 21:10:35.613623,2024-06-22 21:20:10.926393,0 days 00:09:35.312770,32,256,256,0.1,32,0.0001716535442814496,2,3,COMPLETE
85,0.8149758715604122,2024-06-22 21:20:10.927793,2024-06-22 21:29:47.591709,0 days 00:09:36.663916,32,256,256,0.1,32,0.0004849454553376937,2,3,COMPLETE
86,0.8560529548244615,2024-06-22 21:29:47.593162,2024-06-22 21:41:34.890186,0 days 00:11:47.297024,32,256,256,0.1,32,0.00022852882852084295,2,4,COMPLETE
87,0.8570295732012524,2024-06-22 21:41:34.891794,2024-06-22 21:48:38.487320,0 days 00:07:03.595526,32,256,256,0.1,32,0.0002914556990310098,2,2,COMPLETE
88,0.8571607243339359,2024-06-22 21:48:38.488767,2024-06-22 21:57:57.468694,0 days 00:09:18.979927,32,256,256,0.1,256,0.00014632531528733348,2,3,COMPLETE
89,0.8565650799066551,2024-06-22 21:57:57.470119,2024-06-22 22:06:49.331342,0 days 00:08:51.861223,32,128,256,0.1,32,0.00011838063491249976,2,4,COMPLETE
90,0.8615974144331849,2024-06-22 22:06:49.332738,2024-06-22 22:17:17.901462,0 days 00:10:28.568724,32,128,256,0.1,32,8.353056856678619e-05,2,4,COMPLETE
91,0.8385827181040052,2024-06-22 22:17:17.902848,2024-06-22 22:19:17.244201,0 days 00:01:59.341353,256,128,256,0.1,32,4.562671337140933e-05,2,4,COMPLETE
92,0.8171919660589239,2024-06-22 22:19:17.245838,2024-06-22 22:24:52.664457,0 days 00:05:35.418619,32,128,64,0.2,32,9.159621930876807e-05,8,4,COMPLETE
93,0.8464999677704254,2024-06-22 22:24:52.666434,2024-06-22 22:34:35.227890,0 days 00:09:42.561456,32,128,256,0.2,32,6.0525339742105285e-05,2,4,COMPLETE
94,0.860322267728413,2024-06-22 22:34:35.229333,2024-06-22 22:44:51.079812,0 days 00:10:15.850479,32,128,256,0.1,32,7.987121228369458e-05,2,4,COMPLETE
95,0.8550810170970132,2024-06-22 22:44:51.081319,2024-06-22 22:54:10.775383,0 days 00:09:19.694064,32,128,256,0.1,32,7.113527455292498e-05,2,4,COMPLETE
96,0.5386716378758577,2024-06-22 22:54:10.776745,2024-06-22 23:03:28.287554,0 days 00:09:17.510809,32,128,256,0.1,32,1.3350079855009757e-06,2,4,COMPLETE
97,0.5853684767963555,2024-06-22 23:03:28.289034,2024-06-22 23:08:24.961813,0 days 00:04:56.672779,32,128,256,0.4,32,2.8953075938097463e-05,2,4,COMPLETE
98,0.8505900818537041,2024-06-22 23:08:24.963192,2024-06-22 23:19:16.025988,0 days 00:10:51.062796,32,128,256,0.1,128,5.181641961007808e-05,2,4,COMPLETE
99,0.8555594610778273,2024-06-22 23:19:16.027400,2024-06-22 23:30:48.160444,0 days 00:11:32.133044,32,128,256,0.1,32,0.00016884671744680303,2,4,COMPLETE
