number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_hid,params_d_model,params_dropout,params_lr,params_nhead,params_nlayers,state
51,0.8587301269723455,2024-06-11 13:38:17.139753,2024-06-11 13:40:40.180342,0 days 00:02:23.040589,128,128,256,0.1,0.00031116153717249617,4,3,COMPLETE
52,0.858861828532374,2024-06-11 13:40:40.181753,2024-06-11 13:43:15.533377,0 days 00:02:35.351624,128,128,256,0.1,0.0003502186792635669,4,3,COMPLETE
53,0.8567129211374613,2024-06-11 13:43:15.534772,2024-06-11 13:46:38.246373,0 days 00:03:22.711601,128,128,256,0.1,0.0003209785922565944,4,3,COMPLETE
54,0.8582962327588333,2024-06-11 13:46:38.248014,2024-06-11 13:49:17.441484,0 days 00:02:39.193470,128,128,256,0.1,0.0003007356661869437,4,3,COMPLETE
55,0.8567243135381973,2024-06-11 13:49:17.443177,2024-06-11 13:54:36.525036,0 days 00:05:19.081859,64,128,256,0.1,0.000416142282109954,4,3,COMPLETE
56,0.8454675925277693,2024-06-11 13:54:36.526736,2024-06-11 13:56:49.602413,0 days 00:02:13.075677,64,128,128,0.1,0.00037054803495275895,4,3,COMPLETE
57,0.8374868023991316,2024-06-11 13:56:49.604156,2024-06-11 14:01:15.700598,0 days 00:04:26.096442,64,32,256,0.1,0.0004663129284262424,4,3,COMPLETE
58,0.7841481817319941,2024-06-11 14:01:15.701935,2024-06-11 14:03:55.795841,0 days 00:02:40.093906,64,64,64,0.4,0.0007626087130171778,4,3,COMPLETE
59,0.5519103745530425,2024-06-11 14:03:55.797183,2024-06-11 14:04:44.756027,0 days 00:00:48.958844,64,128,256,0.1,0.0011046208883947405,2,2,COMPLETE
60,0.8090413971029845,2024-06-11 14:04:44.757398,2024-06-11 14:06:21.272819,0 days 00:01:36.515421,256,128,32,0.2,0.00028289758932007494,4,3,COMPLETE
61,0.8560486475556717,2024-06-11 14:06:21.274374,2024-06-11 14:08:53.352457,0 days 00:02:32.078083,128,128,256,0.1,0.0003321726466117546,4,3,COMPLETE
62,0.8282605690724205,2024-06-11 14:08:53.354012,2024-06-11 14:09:48.984037,0 days 00:00:55.630025,128,128,256,0.1,0.0001269286193971207,4,3,COMPLETE
63,0.848730556289908,2024-06-11 14:09:48.985742,2024-06-11 14:13:25.649386,0 days 00:03:36.663644,64,128,256,0.1,0.0002443069838212823,4,3,COMPLETE
